D (9,10,-1) (3,0,4)
D (12,-1,-1) (2,3,4)
D (9,-1,-1) (3,5,0)
D (11,12,13) (3,0,5)
D (8,9,-1) (2,2,1)
D (12,13,-1) (0,3,5)
D (8,-1,-1) (5,5,4)
D (9,10,-1) (4,1,1)
D (9,-1,-1) (0,3,2)
D (12,13,-1) (1,5,2)
D (13,-1,-1) (0,5,2)
D (13,-1,-1) (0,4,4)
D (11,12,-1) (1,3,2)
D (13,-1,-1) (2,0,2)
D (8,9,10) (4,1,3)
D (12,13,-1) (2,4,0)
D (7,8,9) (2,3,3)
D (9,10,11) (4,4,3)
D (7,8,-1) (4,2,0)
D (8,-1,-1) (1,1,4)
D (12,13,-1) (1,4,0)
D (8,9,10) (5,4,5)
D (13,-1,-1) (0,0,2)
D (11,12,-1) (2,2,3)
D (10,-1,-1) (0,2,5)
D (13,-1,-1) (2,1,0)
D (6,7,-1) (1,1,1)
D (11,-1,-1) (5,5,5)
D (12,13,-1) (2,1,2)
D (6,7,8) (5,0,3)
D (8,-1,-1) (0,2,0)
D (6,7,8) (3,2,2)
D (8,-1,-1) (5,5,3)
D (9,10,11) (2,4,3)
D (6,-1,-1) (0,4,1)
D (6,-1,-1) (0,4,5)
D (11,12,-1) (3,5,2)
D (7,-1,-1) (5,1,3)
D (6,7,8) (3,2,3)
D (13,-1,-1) (1,2,5)
D (9,10,11) (2,5,3)
C 0 22
C 1 26
C 2 14
C 3 9
C 4 10
C 5 4
C 6 1
C 7 21
C 8 20
C 9 1
C 10 20
C 11 10
C 12 1
C 13 12
C 14 10
C 15 18
C 16 22
C 17 24
C 18 10
C 19 10
C 20 6
C 21 8
C 22 8
C 23 18
C 24 3
C 25 15
C 26 24
C 27 17
C 28 14
C 29 15
C 30 3
C 31 8
C 32 24
C 33 21
C 34 18
C 35 10
C 36 3
C 37 2
C 38 14
C 39 7
C 40 11
C 41 12
C 42 10
C 43 0
C 44 20
C 45 9
C 46 26
C 47 9
C 48 10
C 49 14
C 50 19
C 51 3
C 52 18
C 53 9
C 54 25
C 55 19
C 56 26
C 57 8
C 58 17
C 59 25
C 60 19
C 61 18
C 62 25
C 63 5
C 64 18
C 65 21
C 66 7
C 67 16
C 68 22
C 69 26
C 70 8
C 71 22
C 72 5
C 73 2
C 74 7
C 75 9
C 76 26
C 77 24
C 78 25
C 79 7
C 80 16
C 81 7
C 82 6
C 83 18
C 84 9
C 85 21
C 86 4
C 87 15
C 88 15
C 89 5
C 90 24
C 91 22
C 92 7
C 93 24
C 94 12
C 95 0
C 96 0
C 97 0
C 98 0
C 99 0
C 100 0
C 101 0
C 102 0
C 103 0
C 104 0
C 105 0
C 106 0
C 107 0
C 108 0
C 109 0
C 110 0
C 111 0
C 112 0
C 113 0
C 114 0
C 115 0
C 116 0
C 117 0
C 118 0
C 119 0
C 120 0
C 121 0
C 122 0
C 123 0
C 124 0
C 125 0
C 126 0
C 127 0
C 128 0
C 129 0
C 130 0
C 131 0
C 132 0
C 133 0
C 134 0
C 135 0
C 136 0
C 137 0
C 138 0
C 139 0
C 140 0
C 141 0
C 142 0
C 143 0
C 144 0
C 145 0
C 146 0
C 147 0
C 148 0
C 149 0
C 150 0
C 151 0
C 152 0
C 153 0
C 154 0
C 155 0
C 156 0
C 157 0
C 158 0
C 159 0
C 160 0
C 161 0
C 162 0
C 163 0
C 164 0
C 165 0
C 166 0
C 167 0
C 168 0
C 169 0
C 170 0
C 171 0
C 172 0
C 173 0
C 174 0
C 175 0
C 176 0
C 177 0
C 178 0
C 179 0
C 180 0
C 181 0
C 182 0
C 183 0
C 184 0
C 185 0
C 186 0
C 187 0
C 188 0
C 189 0
C 190 0
C 191 0
C 192 0
C 193 0
C 194 0
C 195 0
C 196 0
C 197 0
C 198 0
C 199 0
C 200 0
C 201 0
C 202 0
C 203 0
C 204 0
C 205 0
C 206 0
C 207 0
C 208 0
C 209 0
C 210 0
C 211 0
C 212 0
C 213 0
C 214 0
C 215 0
C 216 0
C 217 0
C 218 0
C 219 0
C 220 0
C 221 0
C 222 0
C 223 0
C 224 0
C 225 0
C 226 0
C 227 0
C 228 0
C 229 0
C 230 0
C 231 0
C 232 0
C 233 0
C 234 0
C 235 0
C 236 0
C 237 0
C 238 0
C 239 0
C 240 0
C 241 0
C 242 0
C 243 0
C 244 0
C 245 0
C 246 0
C 247 0
C 248 0
C 249 0
C 250 0
C 251 0
C 252 0
C 253 0
C 254 0
C 255 0
C 256 0
C 257 0
C 258 0
C 259 0
C 260 0
C 261 0
C 262 0
C 263 0
C 264 0
C 265 0
C 266 0
C 267 0
C 268 0
C 269 0
C 270 0
C 271 0
C 272 0
C 273 0
C 274 0
C 275 0
C 276 0
C 277 0
C 278 0
C 279 0
C 280 0
C 281 0
C 282 0
C 283 0
C 284 0
C 285 0
C 286 0
C 287 0
C 288 0
C 289 0
C 290 0
C 291 0
C 292 0
C 293 0
C 294 0
C 295 0
C 296 0
C 297 0
C 298 0
C 299 0
C 300 0
C 301 0
C 302 0
C 303 0
C 304 0
C 305 0
C 306 0
C 307 0
C 308 0
C 309 0
C 310 0
C 311 0
C 312 0
C 313 0
C 314 0
C 315 0
C 316 0
C 317 0
C 318 20
C 319 5
C 320 15
C 321 16
C 322 23
C 323 19
C 324 25
C 325 0
C 326 26
C 327 17
C 328 23
C 329 24
C 330 9
C 331 7
C 332 0
C 333 2
C 334 23
C 335 20
C 336 26
C 337 0
C 338 21
C 339 25
C 340 11
C 341 9
C 342 1
C 343 16
C 344 21
C 345 6
C 346 3
C 347 16
C 348 7
C 349 19
C 350 3
C 351 1
C 352 3
C 353 1
C 354 12
C 355 15
C 356 19
C 357 15
C 358 4
C 359 2
C 360 6
C 361 18
C 362 23
C 363 17
C 364 6
C 365 12
C 366 3
C 367 9
C 368 22
C 369 0
C 370 9
C 371 11
C 372 16
C 373 1
C 374 17
C 375 17
C 376 8
C 377 4
I 2 1 13 (4,3,5) (1,0,0,0)
I 2 3 14 (1,0,4) (1,1,-1,0)|(0,-1,1,0)
I 2 1 13 (4,3,5) (1,0,0,0)
